º”—˘ø◊Œª,1∫≈‘≠“∫∆ø(¶ÃL),2∫≈‘≠“∫∆ø(¶ÃL),3∫≈‘≠“∫∆ø(¶ÃL),4∫≈‘≠“∫∆ø(¶ÃL),5∫≈‘≠“∫∆ø(¶ÃL),6∫≈‘≠“∫∆ø(¶ÃL),7∫≈‘≠“∫∆ø(¶ÃL),8∫≈‘≠“∫∆ø(¶ÃL)
1,20,,,,,,,
2,30,,,,,,,
3,0,,,,,,,
4,0,,,,,,,
5,0,,,,,,,
6,10,,,,,,,
7,30,,,,,,,
8,10,,,,,,,
9,0,,,,,,,
10,10,,,,,,,
11,20,,,,,,,
12,30,,,,,,,
13,10,,,,,,,
14,0,,,,,,,
15,30,,,,,,,
16,10,,,,,,,
17,30,,,,,,,
18,0,,,,,,,
19,30,,,,,,,
20,10,,,,,,,
21,30,,,,,,,
22,0,,,,,,,
23,0,,,,,,,
24,0,,,,,,,
25,0,,,,,,,
26,0,,,,,,,
27,0,,,,,,,
28,30,,,,,,,
29,30,,,,,,,
30,20,,,,,,,
31,30,,,,,,,
32,10,,,,,,,
33,30,,,,,,,
34,20,,,,,,,
35,0,,,,,,,
36,20,,,,,,,
37,0,,,,,,,
38,30,,,,,,,
39,0,,,,,,,
40,20,,,,,,,
41,30,,,,,,,
42,30,,,,,,,
43,0,,,,,,,
44,0,,,,,,,
45,10,,,,,,,
46,0,,,,,,,
47,30,,,,,,,
48,30,,,,,,,
49,20,,,,,,,
50,30,,,,,,,
51,20,,,,,,,
52,30,,,,,,,
53,10,,,,,,,
54,0,,,,,,,
55,0,,,,,,,
56,30,,,,,,,
57,20,,,,,,,
58,30,,,,,,,
59,20,,,,,,,
60,20,,,,,,,
61,30,,,,,,,
62,30,,,,,,,
63,0,,,,,,,
64,20,,,,,,,
65,0,,,,,,,
66,10,,,,,,,
67,30,,,,,,,
68,30,,,,,,,
69,0,,,,,,,
70,0,,,,,,,
71,20,,,,,,,
72,0,,,,,,,
73,30,,,,,,,
74,0,,,,,,,
75,0,,,,,,,
76,0,,,,,,,
77,0,,,,,,,
78,0,,,,,,,
79,30,,,,,,,
80,0,,,,,,,
81,0,,,,,,,
82,0,,,,,,,
83,0,,,,,,,
84,0,,,,,,,
85,0,,,,,,,
86,0,,,,,,,
87,0,,,,,,,
88,10,,,,,,,
89,10,,,,,,,
90,0,,,,,,,
91,0,,,,,,,
92,20,,,,,,,
93,30,,,,,,,
94,10,,,,,,,
95,20,,,,,,,
96,0,,,,,,,
