¼ÓÑù¿×Î»,1ºÅÔ­ÒºÆ¿(¦ÌL),2ºÅÔ­ÒºÆ¿(¦ÌL),3ºÅÔ­ÒºÆ¿(¦ÌL),4ºÅÔ­ÒºÆ¿(¦ÌL)
1,30,20,10,100
2,30,20,10,100
3,30,20,10,100
4,30,20,10,100
5,30,20,10,100
6,30,20,10,100
7,30,20,10,100
8,30,20,10,100
9,30,20,10,100
10,30,20,10,100
11,30,20,10,100
12,30,20,10,100
13,30,20,10,100
14,30,20,10,100
15,30,20,10,100
16,30,20,10,100
17,30,20,10,100
18,30,20,10,100
19,30,20,10,100
20,30,20,10,100
21,30,20,10,100
22,30,20,10,100
23,30,20,10,100
24,30,20,10,100
25,30,20,10,100
26,30,20,10,100
27,30,20,10,100
28,30,20,10,100
29,30,20,10,100
30,30,20,10,100
31,30,20,10,100
32,30,20,10,100
33,30,20,10,100
34,30,20,10,100
35,30,20,10,100
36,30,20,10,100
37,30,20,10,100
38,30,20,10,100
39,30,20,10,100
40,30,20,10,100
41,30,20,10,100
42,30,20,10,100
43,30,20,10,100
44,30,20,10,100
45,30,20,10,100
46,30,20,10,100
47,30,20,10,100
48,30,20,10,100
49,30,20,10,100
50,30,20,10,100
51,30,20,10,100
52,30,20,10,100
53,30,20,10,100
54,30,20,10,100
55,30,20,10,100
56,30,20,10,100
57,30,20,10,100
58,30,20,10,100
59,30,20,10,100
60,30,20,10,100
61,30,20,10,100
62,30,20,10,100
63,30,20,10,100
64,30,20,10,100
65,30,20,10,100
66,30,20,10,100
67,30,20,10,100
68,30,20,10,100
69,30,20,10,100
70,30,20,10,100
71,30,20,10,100
72,30,20,10,100
73,30,20,10,100
74,30,20,10,100
75,30,20,10,100
76,30,20,10,100
77,30,20,10,100
78,30,20,10,100
79,30,20,10,100
80,30,20,10,100
81,30,20,10,100
82,30,20,10,100
83,30,20,10,100
84,30,20,10,100
85,30,20,10,100
86,30,20,10,100
87,30,20,10,100
88,30,20,10,100
89,30,20,10,100
90,30,20,10,100
91,30,20,10,100
92,30,20,10,100
93,30,20,10,100
94,30,20,10,100
95,30,20,10,100
96,30,20,10,100
